author,year_pub,area_ha,dna_richness,trad_richness,dna_only,trad_only,shared,union,marker_count,locus,marker_cat,gear_cat,match_effort,field_reps,rep_vol_liter,total_vol_liter
Civade,2016,545,14,18,1,5,13,19,1,12s,single,single,yes,3,45,135
Doble,2020,3290000,92,62,41,11,51,103,4,12s_16s,multiple,single,yes,21,10,210
Evans,2017,2,15,10,5,0,10,15,3,12s_16s_cytb,multiple,multiple,yes,31,0.25,7.75
Fujii,2019,9,0,7,0,7,0,7,1,12s,single,multiple,no,1,1,1
Fujii,2019,5,2,8,0,6,2,8,1,12s,single,multiple,no,1,1,1
Fujii,2019,3,1,3,0,2,1,3,1,12s,single,multiple,no,1,1,1
Fujii,2019,10,9,8,2,1,7,10,1,12s,single,multiple,no,1,1,1
Fujii,2019,7,0,13,0,13,0,13,1,12s,single,multiple,no,1,1,1
Fujii,2019,25,10,8,4,2,6,12,1,12s,single,multiple,no,1,1,1
Fujii,2019,2,8,4,4,0,4,8,1,12s,single,multiple,no,1,1,1
Fujii,2019,1,4,9,0,5,4,9,1,12s,single,multiple,no,1,1,1
Fujii,2019,3,14,8,6,0,8,14,1,12s,single,multiple,no,1,1,1
Fujii,2019,12,15,14,4,3,11,18,1,12s,single,multiple,no,1,1,1
Fujii,2019,3,13,17,1,5,12,18,1,12s,single,multiple,no,1,1,1
Fujii,2019,6,16,13,6,3,10,19,1,12s,single,multiple,no,1,1,1
Fujii,2019,1,15,10,7,2,8,17,1,12s,single,multiple,no,1,1,1
Fujii,2019,12,0,14,0,14,0,14,1,12s,single,multiple,no,1,1,1
Fujii,2019,8,0,11,0,11,0,11,1,12s,single,multiple,no,1,1,1
Fujii,2019,3,9,17,1,9,8,18,1,12s,single,multiple,no,1,1,1
Fujii,2019,3,13,10,5,2,8,15,1,12s,single,multiple,no,1,1,1
Fujii,2019,27,8,13,2,7,6,15,1,12s,single,multiple,no,1,1,1
Fujii,2019,2,5,15,1,11,4,16,1,12s,single,multiple,no,1,1,1
Fujii,2019,27,15,10,8,3,7,18,1,12s,single,multiple,no,1,1,1
